"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Ordinary bachelor degree or national diploma","Number","427"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Honours bachelor degree, professional qualification or both","Number","681"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Postgraduate diploma or degree","Number","568"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Doctorate(Ph.D) or higher","Number","31"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Not stated","Number","235"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Females","Total","Number","5048"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","No formal education","Number","338"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Primary education","Number","1156"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Lower secondary","Number","1615"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Upper secondary","Number","1776"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Technical or vocational qualification","Number","727"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Advanced certificate/Completed apprenticeship","Number","512"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Higher certificate","Number","574"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Ordinary bachelor degree or national diploma","Number","737"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1135"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Postgraduate diploma or degree","Number","884"
"Population aged 15 years and over by sex and highest level of education completed","2022","Milford, Donegal","Both Sexes","Doctorate(Ph.D) or higher","Number","68"
